Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,12221.19043,12479.65039,12221.19043,12397.37988,152560000,12397.37988
2012-01-04,12392.45996,12430,12337.25,12418.41992,145130000,12418.41992
2012-01-05,12418.41992,12435.98047,12283.90039,12415.7002,158440000,12415.7002
2012-01-06,12407.4502,12415.24023,12332.41016,12359.91992,131120000,12359.91992
2012-01-09,12359.30957,12409.08008,12333.84961,12392.69043,122200000,12392.69043
2012-01-10,12394.50977,12514.69043,12394.50977,12462.46973,141230000,12462.46973
2012-01-11,12459.51953,12462.58008,12399.00977,12449.4502,130260000,12449.4502
2012-01-12,12449.91016,12483.7002,12385.08008,12471.01953,128230000,12471.01953
2012-01-13,12469.95996,12470.12012,12311.79004,12422.05957,161470000,12422.05957
2012-01-17,12423.12012,12573.65039,12423.12012,12482.07031,148670000,12482.07031
2012-01-18,12474.69043,12582.28027,12453.2002,12578.9502,154170000,12578.9502
2012-01-19,12578.19043,12625.79981,12563.58008,12623.98047,148030000,12623.98047
2012-01-20,12623.83008,12720.48047,12620.75977,12720.48047,255110000,12720.48047
2012-01-23,12720.25,12764.49023,12665.83008,12708.82031,149860000,12708.82031
2012-01-24,12708.37012,12708.51953,12613.54004,12675.75,125420000,12675.75
2012-01-25,12673.62988,12778.25977,12580.12012,12758.84961,135430000,12758.84961
2012-01-26,12756.95996,12841.9502,12695.16016,12734.62988,130840000,12734.62988
2012-01-27,12733.9502,12733.9502,12630.71973,12660.45996,164410000,12660.45996
2012-01-30,12659.16992,12659.32031,12529.41016,12653.71973,130430000,12653.71973
2012-01-31,12654.78027,12720.09961,12567.33008,12632.91016,168070000,12632.91016
2012-02-01,12632.75977,12784.62012,12632.75977,12716.45996,143500000,12716.45996
2012-02-02,12716.54004,12741.88965,12676.04981,12705.41016,114360000,12705.41016
2012-02-03,12705.04004,12869.9502,12704.95996,12862.23047,142840000,12862.23047
2012-02-06,12860.71973,12860.79004,12793.42969,12845.12988,108040000,12845.12988
2012-02-07,12844.37012,12903.70996,12782.57031,12878.2002,116150000,12878.2002
2012-02-08,12865.79004,12893.63965,12817.69043,12883.9502,138250000,12883.9502
2012-02-09,12884.41016,12924.70996,12846.41016,12890.45996,157080000,12890.45996
2012-02-10,12889.54981,12889.62988,12743.55957,12801.23047,123620000,12801.23047
2012-02-13,12799.11035,12887.92969,12799.11035,12874.04004,112240000,12874.04004
2012-02-14,12871.76953,12878.87988,12786.92969,12878.28027,120050000,12878.28027
2012-02-15,12864.65039,12899.46973,12753.62012,12780.9502,127560000,12780.9502
2012-02-16,12779.80957,12914,12779.58008,12904.08008,134450000,12904.08008
2012-02-17,12903.33008,12967.91992,12903.25,12949.87012,234650000,12949.87012
2012-02-21,12949.33984,13005.04004,12926.11035,12965.69043,164780000,12965.69043
2012-02-22,12966.21973,12977.91016,12914.83008,12938.66992,124200000,12938.66992
2012-02-23,12937.08008,12996.08008,12882.66992,12984.69043,120480000,12984.69043
2012-02-24,12981.2002,13013.82031,12950.58984,12982.9502,89440000,12982.9502
2012-02-27,12981.12988,13027.51953,12882.58984,12981.50977,143530000,12981.50977
2012-02-28,12976.74023,13021.50977,12952.82031,13005.12012,114490000,13005.12012
2012-02-29,13005.41992,13055.75,12929.66016,12952.07031,182460000,12952.07031
2012-03-01,12952.29004,13032.66992,12943.05957,12980.29981,139670000,12980.29981
2012-03-02,12980.75,12997.50977,12927.76953,12977.57031,93900000,12977.57031
2012-03-05,12977.33984,12977.33984,12883.91016,12962.80957,108630000,12962.80957
2012-03-06,12958.65039,12958.73047,12734.86035,12759.15039,142330000,12759.15039
2012-03-07,12756.12012,12857.73047,12751.50977,12837.33008,175110000,12837.33008
2012-03-08,12835.53027,12937.19043,12835.53027,12907.94043,103530000,12907.94043
2012-03-09,12908.62012,12968.79004,12906.42969,12922.01953,103240000,12922.01953
2012-03-12,12920.58008,12976.36035,12919.98047,12959.70996,100000000,12959.70996
2012-03-13,12953.2002,13180.40039,12953.12988,13177.67969,163130000,13177.67969
2012-03-14,13177.15039,13221.26953,13166.25,13194.09961,163610000,13194.09961
2012-03-15,13192.96973,13253.50977,13170.19043,13252.75977,161650000,13252.75977
2012-03-16,13253.50977,13289.08008,13231.4502,13232.62012,392620000,13232.62012
2012-03-19,13231.94043,13269.70996,13208.62988,13239.12988,147120000,13239.12988
2012-03-20,13238.4502,13238.4502,13123.37988,13170.19043,131660000,13170.19043
2012-03-21,13170.79004,13190.01953,13112.92969,13124.62012,124860000,13124.62012
2012-03-22,13124.40039,13124.46973,13017.41992,13046.13965,122060000,13046.13965
2012-03-23,13045.99023,13099.91016,13002.76953,13080.73047,129930000,13080.73047
2012-03-26,13082.62012,13243.86035,13082.38965,13241.62988,122080000,13241.62988
2012-03-27,13242.08984,13264.98047,13194.33008,13197.73047,129280000,13197.73047
2012-03-28,13195.38965,13212.63965,13069.25977,13126.20996,141540000,13126.20996
2012-03-29,13125.99023,13151.57031,13032.66992,13145.82031,136250000,13145.82031
2012-03-30,13147.94043,13224.49023,13147.78027,13212.04004,171190000,13212.04004
2012-04-02,13211.36035,13297.11035,13153.69043,13264.49023,108790000,13264.49023
2012-04-03,13258.95996,13265.36035,13131.20996,13199.54981,123980000,13199.54981
2012-04-04,13198.19043,13198.19043,13020.86035,13074.75,125000000,13074.75
2012-04-05,13067.17969,13088.11035,13012.45996,13060.13965,109530000,13060.13965
2012-04-09,13057.57031,13057.71973,12903.78027,12929.58984,105580000,12929.58984
2012-04-10,12929.44043,12929.58984,12710.55957,12715.92969,159290000,12715.92969
2012-04-11,12716.91992,12844.82031,12716.91992,12805.38965,125210000,12805.38965
2012-04-12,12806.4502,12986.95996,12806.29981,12986.58008,119780000,12986.58008
2012-04-13,12986.2002,12986.34961,12845.28027,12849.58984,140990000,12849.58984
2012-04-16,12850.87988,12986.76953,12850.79981,12921.41016,120990000,12921.41016
2012-04-17,12921.79004,13131.36035,12921.79004,13115.54004,115320000,13115.54004
2012-04-18,13114.55957,13114.55957,13027.49023,13032.75,113520000,13032.75
2012-04-19,13028.73047,13080.2002,12896.82031,12964.09961,139810000,12964.09961
2012-04-20,12964.48047,13082.54004,12964.25,13029.25977,212080000,13029.25977
2012-04-23,13028.2002,13028.2002,12845.58008,12927.16992,139370000,12927.16992
2012-04-24,12927.76953,13050.29981,12926.49023,13001.55957,134110000,13001.55957
2012-04-25,12997.69043,13105.7002,12993.59961,13090.71973,135260000,13090.71973
2012-04-26,13090.11035,13227.82031,13075.95996,13204.62012,107570000,13204.62012
2012-04-27,13204.7002,13266.67969,13192.20996,13228.30957,110850000,13228.30957
2012-04-30,13228.30957,13228.75977,13176.00977,13213.62988,127870000,13213.62988
2012-05-01,13214.16016,13338.66016,13174.65039,13279.32031,123400000,13279.32031
2012-05-02,13278.11035,13278.11035,13192.20996,13268.57031,100770000,13268.57031
2012-05-03,13267.58984,13284.08984,13175.63965,13206.58984,102090000,13206.58984
2012-05-04,13204.62012,13205,13022.33984,13038.26953,113790000,13038.26953
2012-05-07,13035.84961,13049.08984,12970,13008.53027,110080000,13008.53027
2012-05-08,13000.73047,13000.73047,12810.38965,12932.08984,138620000,12932.08984
2012-05-09,12921.80957,12921.80957,12748.48047,12835.05957,147460000,12835.05957
2012-05-10,12831.58008,12931.70996,12820.29981,12855.04004,151650000,12855.04004
2012-05-11,12851.79004,12918.00977,12779.28027,12820.59961,148370000,12820.59961
2012-05-14,12818.49023,12818.86035,12661.48047,12695.34961,143190000,12695.34961
2012-05-15,12695.04981,12758.42969,12608.16016,12632,156060000,12632
2012-05-16,12617.32031,12722.62988,12597.33984,12598.54981,143130000,12598.54981
2012-05-17,12598.32031,12611.41992,12440.51953,12442.49023,147430000,12442.49023
2012-05-18,12443.01953,12492.96973,12336.75977,12369.37988,240720000,12369.37988
2012-05-21,12369.15039,12508.11035,12367.71973,12504.48047,142110000,12504.48047
2012-05-22,12505.37988,12575.95996,12447.33008,12502.80957,133650000,12502.80957
2012-05-23,12501.51953,12508.29981,12311.55957,12496.15039,152190000,12496.15039
2012-05-24,12491.91016,12539.58984,12419.62988,12529.75,126810000,12529.75
2012-05-25,12530.74023,12533.12012,12421.53027,12454.83008,93000000,12454.83008
2012-05-29,12454.83008,12611.61035,12454.59961,12580.69043,107510000,12580.69043
2012-05-30,12579.01953,12579.09961,12396.40039,12419.86035,122830000,12419.86035
2012-05-31,12414.41016,12489.87012,12316.48047,12393.4502,205140000,12393.4502
2012-06-01,12391.55957,12391.62988,12107.48047,12118.57031,162940000,12118.57031
2012-06-04,12119.84961,12143.69043,12035.08984,12101.45996,126440000,12101.45996
2012-06-05,12101.08008,12147.54981,12072.16992,12127.9502,108970000,12127.9502
2012-06-06,12125,12414.79004,12125,12414.79004,140110000,12414.79004
2012-06-07,12416.53027,12555.25977,12416.53027,12460.95996,131150000,12460.95996
2012-06-08,12460.80957,12554.2002,12398.44043,12554.2002,111810000,12554.2002
2012-06-11,12553.80957,12650.46973,12398.48047,12411.23047,121060000,12411.23047
2012-06-12,12412.07031,12577.01953,12411.91016,12573.79981,111360000,12573.79981
