Date,Open,High,Low,Close,Adj Close,Volume
2000-02-10,8.5,8.7,8.5,8.7,5.136044,1398600
2000-02-11,8.575,8.625,8.525,8.575,5.062252,770000
2000-02-14,8.575,8.575,8.4,8.5,5.017973,310400
2000-02-15,8.5,8.5,8.25,8.325,4.914663,693600
2000-02-16,8.325,8.35,8.025,8.2,4.84087,551600
2000-02-17,8.2,8.25,8,8.125,4.796593,775600
2000-02-18,8.125,8.2,8.125,8.15,4.811352,1821400
2000-02-21,8.15,8.25,8.15,8.15,4.811352,1817400
2000-02-22,8.15,8.15,8.1,8.1,4.781834,1097600
2000-02-23,8.1,8.1,7.875,8,4.7228,2327000
2000-02-24,7.875,7.975,7.8,7.9,4.663764,1090000
2000-02-25,7.875,7.925,7.875,7.925,4.678524,25800
2000-02-28,7.95,8.125,7.9,8.125,4.796593,55000
2000-02-29,8.15,8.225,8,8.2,4.84087,641000
2000-03-01,8.125,8.15,8.025,8.15,4.811352,592400
2000-03-02,8.125,8.25,8.125,8.175,4.826111,328200
2000-03-03,8.25,8.3,8.25,8.3,4.899904,149800
2000-03-06,8.45,8.7,8.45,8.5,5.017973,831000
2000-03-07,8.5,8.6,8.45,8.55,5.047493,670400
2000-03-08,8.7,8.7,8.5,8.55,5.047493,664800
2000-03-09,8.525,8.6,8.5,8.6,5.07701,81000
2000-03-10,8.45,8.65,8.45,8.65,5.106527,719000
2000-03-13,8.5,8.625,8.45,8.625,5.091768,329800
2000-03-14,8.55,8.7,8.55,8.625,5.091768,337800
2000-03-15,8.625,8.675,8.625,8.65,5.106527,161600
2000-03-16,8.625,8.75,8.625,8.7,5.136044,143600
2000-03-17,8.75,8.95,8.65,8.95,5.283632,458800
2000-03-20,9.25,9.25,8.975,8.975,5.29839,229200
2000-03-21,9,9.1,8.95,9,5.313149,447400
2000-03-22,9.05,9.05,8.75,8.9,5.254113,113000
2000-03-23,8.8,8.95,8.8,8.925,5.268873,184200
2000-03-24,8.925,9,8.75,8.875,5.239357,265200
2000-03-27,8.75,8.95,8.75,8.875,5.239357,51600
2000-03-28,8.875,9.1,8.875,9.1,5.372187,621400
2000-03-29,9.25,9.8,9.125,9.325,5.505014,656800
2000-03-30,9.375,9.5,9.25,9.5,5.608323,2296800
2000-03-31,9.5,9.625,9.425,9.55,5.637842,292800
2000-04-03,9.625,9.625,9.5,9.5,5.608323,80600
