Date,Open,High,Low,Close,Adj Close,Volume
2015-05-21,35.029999,35.299999,30,31.25,31.25,270300
2015-05-22,32.029999,38.029999,32,34.939999,34.939999,322800
2015-05-25,35,37.470001,35,37.259998,37.259998,117800
2015-05-26,36,37.689999,36,36.919998,36.919998,96800
2015-05-27,37.82,38.549999,33.599998,34.5,34.5,159100
2015-05-28,34.599998,34.599998,33.139999,34,34,38400
2015-05-29,33.709999,34.25,33.349998,33.52,33.52,22800
2015-06-01,33.619999,34.380001,33.43,34.240002,34.240002,11400
2015-06-02,34.720001,34.720001,33.130001,33.130001,33.130001,7300
2015-06-04,34.990002,34.990002,31.879999,33.450001,33.450001,32200
2015-06-05,33.970001,33.98,33.099998,33.98,33.98,4300
2015-06-08,33.98,34.110001,33.5,33.639999,33.639999,4800
2015-06-10,34.830002,34.990002,34.369999,34.5,34.5,11600
2015-06-11,35.5,37.650002,35.5,37.650002,37.650002,23900
2015-06-12,38.919998,41.5,38.669998,41.450001,41.450001,61800
2015-06-15,42,46.990002,41.360001,43.5,43.5,87300
2015-06-16,44.889999,47.200001,44.689999,46.950001,46.950001,62300
2015-06-17,48.799999,51.919998,47.009998,47.189999,47.189999,106700
2015-06-18,47.200001,47.200001,42,43.5,43.5,83200
2015-06-19,44.439999,44.724998,40,43.200001,43.200001,56500
2015-06-22,44.689999,47.490002,44.68,45.5,45.5,43100
2015-06-23,47.130001,47.200001,43.41,43.41,43.41,27500
2015-06-24,44.490002,46.220001,42.5,44.599998,44.599998,22800
2015-06-25,44.990002,45.150002,42.900002,43.299999,43.299999,14400
2015-06-26,43.450001,43.450001,40.599998,41.200001,41.200001,25000
2015-06-29,40.34,41.450001,38.66,38.77,38.77,25400
2015-06-30,38.990002,42.740002,38.990002,42.380001,42.380001,22800
2015-07-02,39.68,40.060001,38.599998,39.25,39.25,28000
2015-07-03,39,40.07,39,39.799999,39.799999,6800
2015-07-06,38.450001,39.950001,38.450001,38.459999,38.459999,9300
2015-07-07,38.459999,39.009998,36.41,39.009998,39.009998,23300
2015-07-08,39,39,37.049999,37.049999,37.049999,24200
2015-07-09,37.650002,38.5,36.700001,37.25,37.25,8500
2015-07-10,38.419998,38.5,37.150002,37.48,37.48,13100
2015-07-13,38,39.549999,38,38.75,38.75,14200
2015-07-14,39.619999,39.790001,39.049999,39.450001,39.450001,17200
2015-07-15,39.990002,39.990002,37.5,37.900002,37.900002,16400
2015-07-16,38.009998,38.470001,37.5,38,38,5100
2015-07-17,38.5,41.900002,38,41.900002,41.900002,39700
2015-07-20,41.889999,44,41.5,43.639999,43.639999,31200
2015-07-21,44.16,44.889999,41.73,43,43,24500
2015-07-22,41.889999,43.490002,41,42.060001,42.060001,14000
2015-07-23,43.290001,44.75,42.75,42.830002,42.830002,12400
2015-07-24,43.84,45.369999,43.560001,43.560001,43.560001,20200
2015-07-27,42.990002,43.91,41.82,42.860001,42.860001,10100
2015-07-28,42.860001,44.580002,42.540001,44.25,44.25,11200
2015-07-29,43.950001,44.799999,43.200001,44.52,44.52,13900
2015-07-30,50,52,47.970001,49.5,49.5,84800
2015-07-31,48.02,49.720001,47.740002,48.880001,48.880001,25200
2015-08-04,50.68,53.5,50.400002,50.400002,50.400002,44700
2015-08-05,50.560001,52.5,50.16,50.380001,50.380001,22300
2015-08-06,49.98,50.75,46.259998,47.32,47.32,42900
2015-08-07,47.529999,47.529999,45.009998,46.509998,46.509998,17100
2015-08-10,47.200001,47.25,42.869999,43.060001,43.060001,19800
2015-08-11,42.919998,46.709999,42.919998,46.049999,46.049999,19600
2015-08-14,47.18,47.18,44.799999,45.474998,45.474998,13000
2015-08-18,44.32,44.549999,42.52,42.52,42.52,14300
2015-08-19,42.25,42.25,40.27,40.91,40.91,28300
2015-08-20,40.91,40.91,38.259998,38.580002,38.580002,27800
2015-08-21,37.75,39.299999,36,36.68,36.68,29200
2015-08-24,31.049999,37.419998,30.5,35,35,100900
2015-08-25,37.549999,39.5,35.889999,36.029999,36.029999,43700
2015-08-26,37.91,37.990002,35.099998,37.650002,37.650002,29400
2015-08-27,37.799999,39.150002,37.279999,37.57,37.57,22100
2015-08-28,37.349998,38.25,36.709999,36.990002,36.990002,15900
2015-08-31,37,37.889999,36,36.709999,36.709999,14700
2015-09-04,36.400002,36.400002,35,35.5,35.5,5900
2015-09-08,36.299999,36.490002,35.459999,35.509998,35.509998,6500
2015-09-09,36,37.689999,34.369999,34.380001,34.380001,26200
2015-09-15,36.490002,37.5,36,37.220001,37.220001,10700
2015-09-17,39.490002,49.849998,39.279999,47.25,47.25,165200
2015-09-18,47.5,48.75,45.040001,46.939999,46.939999,99800
2015-09-22,45.48,45.779999,43.630001,44.48,44.48,52800
2015-09-23,45.139999,46,43.830002,44.73,44.73,32900
2015-09-24,44.619999,45.5,42.880001,44.459999,44.459999,60100
2015-09-25,45.080002,47.450001,44.23,45.209999,45.209999,62700
2015-09-28,45.09,45.209999,43.48,44.25,44.25,64100
2015-09-29,43.040001,45.41,43.040001,45.25,45.25,31300
2015-09-30,46.029999,47.650002,45.330002,46.66,46.66,18200
2015-10-26,41.700001,41.700001,40.5,41.02,41.02,29500
2015-10-27,40.509998,41.139999,39.490002,40.869999,40.869999,40700
2015-10-28,41,41.150002,40.119999,41.150002,41.150002,22200
